Actual,Predicted
24,24
24,22
24,24
24,25
24,24
23,17
24,24
27,22
24,24
23,23
20,20
17,24
22,22
17,17
22,10
28,24
24,24
22,22
24,24
17,17
24,24
1,1
26,26
10,10
25,25
24,24
22,22
24,25
27,27
24,22
26,26
22,22
2,2
20,20
25,25
23,24
17,17
23,24
24,22
25,25
10,10
25,25
20,24
24,24
24,24
22,22
26,26
22,22
28,28
26,26
1,24
24,20
24,24
22,22
24,24
25,25
17,25
24,24
26,26
24,24
10,17
22,24
1,24
24,24
24,22
10,25
24,10
2,2
26,26
25,25
22,24
10,10
24,24
26,26
17,17
17,24
26,26
17,17
25,25
17,17
20,20
23,23
24,24
22,22
17,22
17,17
10,10
10,10
24,24
24,24
24,24
17,17
25,25
24,24
27,27
22,24
22,2
24,24
22,22
26,24
24,24
22,22
26,26
22,22
24,24
24,22
25,25
26,26
23,23
25,25
22,22
22,26
24,1
24,24
10,10
22,22
22,22
23,23
24,24
24,23
23,17
1,25
25,25
24,24
10,10
24,24
24,24
24,24
23,23
23,23
10,26
22,22
25,25
24,1
10,24
27,27
24,24
25,25
22,22
24,24
25,25
20,20
1,25
25,25
25,25
17,1
24,24
22,22
23,24
24,24
22,24
24,1
26,28
22,10
24,24
17,17
25,25
25,24
28,28
17,25
28,28
25,17
25,25
22,22
22,22
24,24
2,2
24,24
23,23
26,26
26,26
10,10
26,24
28,28
25,25
20,20
10,24
20,20
17,17
24,24
24,22
22,22
22,22
22,22
22,10
25,25
22,22
25,22
24,24
22,10
24,22
24,1
1,1
1,22
24,24
24,24
24,24
23,23
17,10
26,26
22,22
25,25
22,22
24,24
20,22
10,10
2,2
28,24
17,22
26,26
25,22
24,24
22,25
24,24
23,23
24,24
23,23
26,26
27,27
22,24
26,26
22,22
26,22
24,24
26,26
10,10
24,24
22,24
22,26
27,27
24,24
1,22
24,24
25,25
24,24
26,26
24,1
22,22
24,24
25,25
22,22
24,24
24,24
10,10
10,10
24,24
10,10
10,10
24,24
1,22
24,24
24,26
10,10
24,24
24,24
23,23
25,25
10,10
22,10
17,2
1,26
20,20
25,25
22,22
20,20
22,24
22,24
28,28
22,22
24,24
10,10
10,10
24,24
22,22
23,2
10,10
24,24
17,17
10,22
22,24
22,22
24,28
20,23
24,24
10,10
24,24
26,22
10,10
25,25
25,25
10,10
28,28
22,22
24,22
26,22
26,26
20,20
17,17
26,22
26,26
10,10
24,24
2,2
1,22
24,10
17,17
24,24
24,24
24,24
22,22
24,24
24,24
22,25
17,17
24,1
2,2
22,22
24,24
17,17
24,24
24,24
24,24
25,25
25,25
26,26
24,24
25,25
24,24
10,10
20,23
22,22
22,22
22,22
22,22
1,1
10,22
24,24
10,22
26,26
26,17
24,24
24,24
22,22
22,22
24,24
22,22
24,24
20,22
26,26
28,25
25,25
25,25
28,24
17,17
24,24
10,22
17,17
20,1
28,26
10,10
24,24
22,22
28,28
25,25
25,25
22,22
24,22
24,24
10,24
22,25
25,25
17,17
26,26
24,24
23,23
22,22
28,24
22,24
22,22
23,23
24,24
22,22
27,27
22,22
24,24
24,24
26,22
1,26
1,24
24,10
26,26
1,1
23,24
22,22
22,24
2,2
24,24
17,17
24,24
10,24
